SampleID	Locus	Reads	OutputDada2	OutputPostprocessing
Dd2-1_S27_L001	Pf3D7_04_v3-140317-140548-1A	251	251	251
Dd2-1_S27_L001	Pf3D7_04_v3-141741-141990-1A	212	207	207
Dd2-1_S27_L001	Pf3D7_04_v3-284121-284364-1A	47	44	44
Dd2-1_S27_L001	Pf3D7_04_v3-316593-316858-1A	59	56	56
Dd2-1_S27_L001	Pf3D7_04_v3-544454-544718-1A	43	43	43
Dd2-1_S27_L001	Pf3D7_04_v3-648065-648332-1A	22	22	22
Dd2-1_S27_L001	Pf3D7_04_v3-900526-900759-1A	184	181	181
Dd2-1_S27_L001	Pf3D7_04_v3-1005938-1006187-1A	52	50	50
Dd2-1_S27_L001	Pf3D7_04_v3-1037644-1037891-1A	83	83	83
Dd2-1_S27_L001	Pf3D7_04_v3-1113397-1113639-1A	131	128	128
Dd2-1_S27_L001	Pf3D7_05_v3-213027-213251-1A	122	121	121
Dd2-1_S27_L001	Pf3D7_05_v3-350808-351052-1A	106	101	101
Dd2-1_S27_L001	Pf3D7_05_v3-369676-369949-1A	28	28	28
Dd2-1_S27_L001	Pf3D7_05_v3-395887-396136-1A	69	69	69
Dd2-1_S27_L001	Pf3D7_05_v3-550803-551072-1A	39	38	38
Dd2-1_S27_L001	Pf3D7_05_v3-641131-641404-1A	16	16	16
Dd2-1_S27_L001	Pf3D7_05_v3-668763-669004-1A	242	238	238
Dd2-1_S27_L001	Pf3D7_05_v3-796518-796759-1A	62	61	61
Dd2-1_S27_L001	Pf3D7_05_v3-1188456-1188706-1A	55	53	53
Dd2-1_S27_L001	Pf3D7_05_v3-1322099-1322341-1A	17	17	17
Dd2-1_S27_L001	Pf3D7_06_v3-145285-145531-1A	180	179	179
Dd2-1_S27_L001	Pf3D7_06_v3-176108-176338-1A	154	151	151
Dd2-1_S27_L001	Pf3D7_06_v3-416462-416720-1A	61	60	60
Dd2-1_S27_L001	Pf3D7_06_v3-532166-532407-1A	332	330	330
Dd2-1_S27_L001	Pf3D7_06_v3-851492-851765-1A	56	55	55
Dd2-1_S27_L001	Pf3D7_06_v3-1115900-1116168-1A	42	42	42
Dd2-1_S27_L001	Pf3D7_06_v3-1128558-1128797-1A	59	59	59
Dd2-1_S27_L001	Pf3D7_06_v3-1135605-1135855-1A	96	93	93
Dd2-1_S27_L001	Pf3D7_06_v3-1136091-1136364-1A	49	49	49
Dd2-1_S27_L001	Pf3D7_06_v3-1140900-1141174-1A	55	54	54
Dd2-1_S27_L001	Pf3D7_06_v3-1192628-1192867-1A	83	82	82
Dd2-1_S27_L001	Pf3D7_06_v3-1197245-1197515-1A	39	36	36
Dd2-1_S27_L001	Pf3D7_06_v3-1235395-1235658-1A	21	21	21
Dd2-1_S27_L001	Pf3D7_06_v3-1282656-1282930-1A	23	23	23
Dd2-1_S27_L001	Pf3D7_07_v3-105172-105442-1A	31	29	29
Dd2-1_S27_L001	Pf3D7_07_v3-432832-433091-1A	84	83	83
Dd2-1_S27_L001	Pf3D7_07_v3-475313-475545-1A	65	64	64
Dd2-1_S27_L001	Pf3D7_07_v3-627351-627625-1A	20	19	19
Dd2-1_S27_L001	Pf3D7_07_v3-717260-717493-1A	69	67	67
Dd2-1_S27_L001	Pf3D7_07_v3-729480-729750-1A	31	30	30
Dd2-1_S27_L001	Pf3D7_07_v3-1028330-1028603-1A	23	22	22
Dd2-1_S27_L001	Pf3D7_07_v3-1043981-1044225-1A	122	119	119
Dd2-1_S27_L001	Pf3D7_07_v3-1066661-1066903-1A	189	185	185
Dd2-1_S27_L001	Pf3D7_07_v3-1149367-1149613-1A	221	216	216
Dd2-1_S27_L001	Pf3D7_08_v3-102277-102527-1A	136	135	135
